,country,jan_temp,feb_temp,mar_temp,apr_temp,may_temp,jun_temp,july_temp,aug_temp,sept_temp,oct_temp,nov_temp,dec_temp,annual_temp,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,Annual_precip,airport_traffic_2018_thousands,property_Affordability_Index,Health_Care_Index,hosp_beds_per_1000_2017,ICU-CCB_beds_per_100000,Population_2020,Density_KM2m,Fertility_rate,Median_age,Urban_pop_pct,gdp_usd_million,age_0_to_14_years_percent,age_15_to_64_years_percent,age_over_65_years_percent,sex_male_to_female_At_birth_CIA_estimate_2020,sex_male_to_female_0_14_years,sex_male_to_female_15_24_years,sex_male_to_female_25_54_years,sex_male_to_female_55_64_years,sex_male_to_female_over_65,sex_male_to_female_total,latitude,longitude
0,Afghanistan,0.073058404,2.109406295,7.596974062,13.37023908,18.2163097,23.20131516,25.2585367,23.7665167,19.03457455,12.99264626,7.004094443,2.433516851,12.92145452,43.27564145,49.18457755,64.97141845,49.40662428,24.18248843,4.559184962,8.034325742,7.736402995,3.667419606,9.355273409,15.40912666,31.53937366,311.3218559,1722613,,,,,38928346,60,4.6,18,25%,18734,43.2,54.2,2.6,1.05,1.03,1.03,1.03,0.97,0.85,1.03,33.93911,67.709953
1,Albania,2.023066632,3.218058333,6.035316656,9.917866548,14.44275006,17.92774995,20.53891659,20.47966655,17.15908329,12.265775,7.575808227,3.653616677,11.26980007,107.9994176,102.6258335,93.43308322,86.16250038,74.27391656,54.57916753,39.07499989,45.69633325,67.56849957,105.2614174,138.2641671,138.2958336,1053.235184,303137,0.79,53.05,,,2877797,105,1.6,36,63%,15418,17.4,68.9,13.2,1.08,1.11,1.09,0.93,0.95,0.87,0.98,41.153332,20.168331
2,Algeria,12.12249731,14.79019474,17.91350279,21.93638156,26.41402801,30.79646789,32.53892062,31.97453911,28.8243092,23.33912251,17.30899544,12.95063616,22.57579114,8.991996859,8.603530758,9.393840894,8.036686549,6.555782698,3.373739663,2.065212531,3.687830136,5.128238813,7.328424389,9.528861018,9.279404498,81.97354877,6442442,0.67,54.86,,,43851044,18,3.1,29,73%,172781,29.3,64.5,6.2,1.05,1.05,1.05,1.03,1.01,0.89,1.03,28.033886,1.659626
3,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77265,164,N.A.,N.A.,88%,,,,,1.07,1.05,1.08,1.05,1.15,1.02,1.06,42.546245,1.601554
4,Angola,22.58223558,22.68353608,22.78413945,22.35358172,20.7395745,18.37331493,17.94617549,19.90246635,22.18754807,23.18159854,22.78615141,22.6108582,21.51093269,154.9874039,148.5442139,169.9146928,109.0722669,15.14267505,0.372332403,0.321137402,3.413405032,20.10227425,69.76669791,144.5101612,155.1584231,991.3056834,1516628,,,,,32866272,26,5.6,17,67%,91527,46.8,50.8,2.4,1.05,1.04,1.04,1.02,0.94,1.5,1.02,-11.202692,17.873887
5,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,580174.2,,,,,97929,223,2,34,26%,1688,23.9,69.2,6.9,1.05,1.03,0.99,0.84,0.82,0.76,0.9,17.060816,-61.796428
6,Argentina,20.80353289,19.89952255,17.51463427,14.04628363,10.64773153,7.657255859,7.421398515,9.015955086,11.52947597,14.67465105,17.54403227,19.8281476,14.21522492,68.37043995,63.65408754,69.53103663,46.48114779,36.28215434,28.08004619,25.89438467,24.09676756,30.07355358,47.7154873,55.56666441,63.30010189,559.0458708,18081937,0.1,69.25,,,45195774,17,2.3,32,93%,445469,24.9,63.9,11.2,1.05,1.06,1.05,1,0.94,0.71,0.98,-38.416097,-63.616672
7,Armenia,-8.663130761,-6.652076905,-0.566409998,6.619723082,11.43230783,15.57938451,19.81930747,19.28430763,14.97000012,7.922046149,1.618720246,-4.8725539,6.374361625,20.84030782,25.92638456,40.10553844,59.73115393,82.84869121,68.04715406,43.06392296,35.96969223,29.42953821,42.12738463,30.79407692,23.39792303,502.2817688,,0.47,,,,2963243,104,1.8,35,63%,13444,20,68.8,11.2,1.13,1.14,1.06,0.93,0.84,0.67,0.94,40.069099,45.038189
8,Australia,27.78449603,27.2294103,25.36869669,21.87473902,17.85830493,14.83290851,13.95467713,15.70786104,18.89074939,22.45708621,25.12711634,26.99410087,21.50667634,80.55664575,75.8091304,61.97969921,31.12384655,30.0032934,23.82774423,23.2956178,20.26907604,17.842302,24.36599329,33.09903097,50.91911991,473.0914998,75667645,1.8,77.38,,9.1,25499884,3,1.8,38,86%,1376255,19,65.5,15.5,1.06,1.06,1.09,0.99,0.93,0.86,0.99,-25.274398,133.775136
9,Austria,-3.516328201,-1.985212834,1.41837768,5.509071032,10.11808196,13.28641799,15.25566661,14.97906912,12.09243845,7.550789705,1.733679666,-2.209829826,6.186012748,67.70153872,65.91356405,75.92148747,90.70466702,113.3636157,137.6559239,136.9994104,131.4175375,94.90541047,77.15084536,92.21007733,77.23976957,1161.183869,12935505,1.5,78.73,7.37,21.8,9006398,109,1.5,43,57%,447718,14.1,66.7,19.2,1.05,1.05,1.04,1,0.98,0.76,0.96,47.516231,14.550072
