country ,long,lad,date,confirmed,death,humidity,sunHour,tempC,windspeed
Afghanistan,33,65,"22,01,20",0,0,65,8.7,-1,8
Afghanistan,33,65,"23,01,20",0,0,59,8.7,-3,8
Afghanistan,33,65,"24,01,20",0,0,71,7.1,0,7
Afghanistan,33,65,"25,01,20",0,0,79,8.7,0,7
Afghanistan,33,65,"26,01,20",0,0,64,8.7,-1,8
Afghanistan,33,65,"27,01,20",0,0,66,8.7,-1,6
Afghanistan,33,65,"28,01,20",0,0,59,8.7,-2,9
Afghanistan,33,65,"29,01,20",0,0,56,8.7,-3,8
Afghanistan,33,65,"30,01,20",0,0,66,8.7,-2,8
Afghanistan,33,65,"31,01,20",0,0,70,4,-1,8
Afghanistan,33,65,"01,02,20",0,0,60,8.7,-1,8
Afghanistan,33,65,"02,02,20",0,0,57,8.7,-1,8
Afghanistan,33,65,"03,02,20",0,0,73,4,0,5
Afghanistan,33,65,"04,02,20",0,0,89,4,-1,4
Afghanistan,33,65,"05,02,20",0,0,70,8.7,-2,9
Afghanistan,33,65,"06,02,20",0,0,57,7.1,-1,9
Afghanistan,33,65,"07,02,20",0,0,50,8.7,-1,10
Afghanistan,33,65,"08,02,20",0,0,45,8.7,4,8
Afghanistan,33,65,"09,02,20",0,0,48,8.7,3,7
Afghanistan,33,65,"10,02,20",0,0,65,7.2,1,6
Afghanistan,33,65,"11,02,20",0,0,97,4.1,1,3
Afghanistan,33,65,"12,02,20",0,0,99,4.1,1,3
Afghanistan,33,65,"13,02,20",0,0,81,4.1,6,9
Afghanistan,33,65,"14,02,20",0,0,38,8.7,2,11
Afghanistan,33,65,"15,02,20",0,0,39,8.7,5,8
Afghanistan,33,65,"16,02,20",0,0,39,8.7,1,11
Afghanistan,33,65,"17,02,20",0,0,33,8.7,5,11
Afghanistan,33,65,"18,02,20",0,0,41,8.7,7,10
Afghanistan,33,65,"19,02,20",0,0,49,8.7,5,6
Afghanistan,33,65,"20,02,20",0,0,55,7.2,6,7
Afghanistan,33,65,"21,02,20",0,0,50,8.7,7,9
Afghanistan,33,65,"22,02,20",0,0,51,8.7,9,8
Afghanistan,33,65,"23,02,20",0,0,47,8.7,11,7
Afghanistan,33,65,"24,02,20",1,0,47,8.7,11,8
Afghanistan,33,65,"25,02,20",1,0,50,8.7,10,9
Afghanistan,33,65,"26,02,20",1,0,42,8.7,13,8
Afghanistan,33,65,"27,02,20",1,0,59,8.7,14,5
Afghanistan,33,65,"28,02,20",1,0,70,4.2,12,5
Afghanistan,33,65,"29,02,20",1,0,74,7.2,9,5
Afghanistan,33,65,"01,03,20",1,0,65,8.7,13,3
Afghanistan,33,65,"02,03,20",1,0,46,8.7,16,5
Afghanistan,33,65,"03,03,20",1,0,39,8.7,14,4
Afghanistan,33,65,"04,03,20",1,0,75,5.7,7,8
Afghanistan,33,65,"05,03,20",1,0,79,5.7,8,5
Afghanistan,33,65,"06,03,20",1,0,53,8.7,12,3
Afghanistan,33,65,"07,03,20",1,0,39,8.7,10,7
Afghanistan,33,65,"08,03,20",4,0,34,8.7,9,5
Afghanistan,33,65,"09,03,20",4,0,54,5.8,8,4
Afghanistan,33,65,"10,03,20",5,0,74,4.3,6,6
Afghanistan,33,65,"11,03,20",7,0,71,4.3,9,13
Afghanistan,33,65,"12,03,20",7,0,70,4.3,7,8
Afghanistan,33,65,"13,03,20",7,0,52,11.6,13,4
Afghanistan,33,65,"14,03,20",11,0,31,11.6,14,5
Afghanistan,33,65,"15,03,20",16,0,30,11.6,14,4
Afghanistan,33,65,"16,03,20",21,0,32,10.2,14,4
Afghanistan,33,65,"17,03,20",22,0,44,11.6,15,3
Afghanistan,33,65,"18,03,20",22,0,44,12,17,4
Afghanistan,33,65,"19,03,20",22,0,39,12.5,17,4
Afghanistan,33,65,"20,03,20",24,0,54,9.1,13,5
Afghanistan,33,65,"21,03,20",24,0,61,9.2,15,5
Albania,41.1533,20.1683,"22,01,20",0,0,51,7,11,3
Albania,41.1533,20.1683,"23,01,20",0,0,52,8.7,14,5
Albania,41.1533,20.1683,"24,01,20",0,0,56,8.7,15,5
Albania,41.1533,20.1683,"25,01,20",0,0,78,3.7,12,5
Albania,41.1533,20.1683,"26,01,20",0,0,78,3.7,14,5
Albania,41.1533,20.1683,"27,01,20",0,0,86,5.4,13,7
Albania,41.1533,20.1683,"28,01,20",0,0,84,3.7,12,9
Albania,41.1533,20.1683,"29,01,20",0,0,83,3.7,13,10
Albania,41.1533,20.1683,"30,01,20",0,0,75,7,13,6
Albania,41.1533,20.1683,"31,01,20",0,0,65,8.7,14,5
Albania,41.1533,20.1683,"01,02,20",0,0,80,7.1,14,4
Albania,41.1533,20.1683,"02,02,20",0,0,82,8.7,15,4
Albania,41.1533,20.1683,"03,02,20",0,0,81,8.7,15,5
Albania,41.1533,20.1683,"04,02,20",0,0,82,7.1,16,13
Albania,41.1533,20.1683,"05,02,20",0,0,71,8.7,8,15
Albania,41.1533,20.1683,"06,02,20",0,0,56,8.7,6,14
Albania,41.1533,20.1683,"07,02,20",0,0,51,8.7,9,5
Albania,41.1533,20.1683,"08,02,20",0,0,59,8.7,14,5
Albania,41.1533,20.1683,"09,02,20",0,0,65,8.7,13,6
Albania,41.1533,20.1683,"10,02,20",0,0,77,5.6,12,8
Albania,41.1533,20.1683,"11,02,20",0,0,78,4,14,10
Albania,41.1533,20.1683,"12,02,20",0,0,80,4,16,6
Albania,41.1533,20.1683,"13,02,20",0,0,64,8.7,16,5
Albania,41.1533,20.1683,"14,02,20",0,0,78,4,9,9
Albania,41.1533,20.1683,"15,02,20",0,0,66,8.7,15,9
Albania,41.1533,20.1683,"16,02,20",0,0,61,8.7,16,6
Albania,41.1533,20.1683,"17,02,20",0,0,62,8.7,15,4
Albania,41.1533,20.1683,"18,02,20",0,0,70,8.7,14,4
Albania,41.1533,20.1683,"19,02,20",0,0,77,8.7,15,4
Albania,41.1533,20.1683,"20,02,20",0,0,76,5.6,11,8
Albania,41.1533,20.1683,"21,02,20",0,0,57,8.7,11,8
Albania,41.1533,20.1683,"22,02,20",0,0,54,8.7,12,9
Albania,41.1533,20.1683,"23,02,20",0,0,54,8.7,14,4
Albania,41.1533,20.1683,"24,02,20",0,0,62,8.7,16,5
Albania,41.1533,20.1683,"25,02,20",0,0,71,8.7,17,6
Albania,41.1533,20.1683,"26,02,20",0,0,74,7.2,17,18
Albania,41.1533,20.1683,"27,02,20",0,0,79,4.2,7,17
Albania,41.1533,20.1683,"28,02,20",0,0,83,4.2,9,12
Albania,41.1533,20.1683,"29,02,20",0,0,58,8.7,11,5
Albania,41.1533,20.1683,"01,03,20",0,0,57,8.7,14,6
Albania,41.1533,20.1683,"02,03,20",0,0,71,7.2,18,13
Albania,41.1533,20.1683,"03,03,20",0,0,73,4.2,17,15
Albania,41.1533,20.1683,"04,03,20",0,0,85,4.2,11,6
Albania,41.1533,20.1683,"05,03,20",0,0,75,8.7,13,5
Albania,41.1533,20.1683,"06,03,20",0,0,68,4.2,12,9
Albania,41.1533,20.1683,"07,03,20",0,0,87,5.7,13,9
Albania,41.1533,20.1683,"08,03,20",0,0,87,4.3,11,8
Albania,41.1533,20.1683,"09,03,20",2,0,82,4.3,13,6
Albania,41.1533,20.1683,"10,03,20",10,0,74,11.4,11,6
Albania,41.1533,20.1683,"11,03,20",12,1,69,11.6,15,6
Albania,41.1533,20.1683,"12,03,20",23,1,68,11.6,21,5
Albania,41.1533,20.1683,"13,03,20",33,1,66,11.6,20,5
